id,file,lines,category,before_bytes,after_bytes,saved_bytes,saved_tokens_b4,action,preserved_by,risk,hard_pins,hard_pin_detail
PI-13,parallel-issues/SKILL.md,995-1037,DUP,2900,1600,1300,325,"Keep the precheck block (979-994: test-adversarial-review-receipt.sh pins `post-receipt.sh precheck`, `consent-record.sh payload`, the `: ""${PR:?set PR}""` boundary); replace the publish block + prose (995-1036) with a 6-line pointer that still carries the pinned literals `post-receipt.sh publish`, `finding-ledger.sh add`, `--require-pushed`","review-remote-pr/SKILL.md Step 1b + receipt; test-adversarial-review-receipt.sh, test-post-receipt.sh","50 literal pins from test-adversarial-review-receipt.sh in 995-1004 — keep that paragraph, cut the duplicate publish block | test-adversarial-review-receipt.sh:86-122 pins literals in the parallel-issues text — keep them in the pointer",50,test-adversarial-review-receipt.sh:39[a]L995-995:confirmed finding | test-adversarial-review-receipt.sh:47[a]L996-996:after fixes are pushed | test-adversarial-review-receipt.sh:48[a]L996-996:before draft-phase-complete handoff | test-adversarial-review-receipt.sh:34[a]L997-997:provider
PI-14,parallel-issues/SKILL.md,1065-1074,SELF,1224,1400,0,0,Final draft sweep: 1067/1068 and 1070-1071/1073 say the same thing twice; keep one statement each,post-receipt.sh status exit codes,low,20,test-parallel-dispatch-contract.sh:514[a]L1065-1065:Final draft sweep | test-parallel-dispatch-contract.sh:522[b]L1065-1065:### Final draft sweep (mandatory before handoff) . | test-parallel-dispatch-contract.sh:516[a]L1067-1067:CI settled | test-parallel-dispatch-contract.sh:518[a]L1067-1067:Code Quality dispositioned
PI-15,parallel-issues/SKILL.md,1101-1106,SELF,402,0,402,100,Delete Common Mistakes (a pointer list to files already named as mandatory reads),references.md,"no test greps ""Common Mistakes""",7,test-skills-contract.sh:470[a]L1103-1103:DYN: consumer points at ../.shared/six-step-loop.m | test-skills-contract.sh:470[a]L1103-1103:DYN: consumer points at ../.shared/spawn-contract. | lint-helper-refs.sh:87[e]L1103-1103:path must resolve: ../.shared/six-step-loop.md ../ | test-parallel-dispatch-contract.sh:232[a]L1104-1104:.shared/wait-discipline.md
PI-16,parallel-issues/SKILL.md,73-85,SELF,870,400,470,117,Cut lines 73-84 (--auto-review independence + consent-context paragraph); 939-942 restates the consent rule at the point of use and adversarial-review.md carries the full gate,adversarial-review.md §--auto-review; test-cross-provider-consent.sh,"KEEP the heading sentence ""`--auto-review` is independent"" (test-autonomy-flags.sh:63) and the --auto-approve alias mention (line 51, satisfied by the Flags table row 39)",5,test-autonomy-flags.sh:63[a]L73-73:`--auto-review` is independent | test-autonomy-flags.sh:72[a]L80-80:dispatched review agents do not launch the reviewe | test-autonomy-flags.sh:74[a]L80-81:dispatched loop agents never stall waiting for con | test-autonomy-flags.sh:76[a]L83-83:at the launch site
PI-17,parallel-issues/SKILL.md,21-29,DUP,858,1000,0,0,"Cut the read-discipline paragraph to 3 lines (same rule lives in references.md, review-remote-pr 12-17, pr-to-green 17)",references.md header,low,27,"test-parallel-dispatch-contract.sh:1309[a]L21-21:References are read once and batched | test-reference-manifest.sh:211[a]L22-22:""$agentkit/references.md"" | lint-helper-refs.sh:87[e]L22-22:path must resolve: $agentkit/references.md | test-parallel-dispatch-contract.sh:1311[a]L23-23:Match conditions to the execution path"
PI-18,parallel-issues/SKILL.md,107-120,SELF,1414,900,514,128,Ledger prose: keep the append/read command lines and the RUN_ID stability sentence; cut the worked example and reflow caveat,session-ledger.sh; test-session-ledger.sh,low,14,"test-session-ledger.sh:260[a]L109-109:compaction/resume | test-session-ledger.sh:284[a]L109-109:scope=57,54 | test-session-ledger.sh:287[a]L109-109:scope=57,62 | test-session-ledger.sh:290[a]L110-110:auto-review=false"
PI-19,parallel-issues/SKILL.md,1107-1115,SELF,628,350,278,69,"Limits: 4 bullets (cap 10, chain depth 4, root-only spawn, gh/jq requirements)",concurrency-cap.sh,low,3,"test-parallel-dispatch-contract.sh:139[a]L1110-1110:--auto-serialize | test-parallel-dispatch-contract.sh:144[a]L1110-1110:4-link depth window | test-parallel-dispatch-contract.sh:355[b]L1114-1114:### Dispatch (one round, then refill slots) .. /^W"
PI-20,parallel-issues/SKILL.md,826-831;852-854,DUP,536,300,236,59,Quiescence gate + bounded inline correction: 1 pointer line each to spawn-contract §Bounded inline corrections (which is a mandatory read),spawn-contract.md 427-443,low,4,"test-parallel-dispatch-contract.sh:1074[a]L852-852:inline correction | test-parallel-dispatch-contract.sh:1076[a]L852-852:zero dispatches | test-parallel-dispatch-contract.sh:844[a]L854-854:open a DRAFT PR | test-parallel-dispatch-contract.sh:845[a]L854-855:Why, What, Decisions, checkbox-formatted `Testing`"
PI-21,parallel-issues/SKILL.md,64-70,DUP,545,200,345,86,Verification-cache paragraph: 2 lines + pointer; trust-and-fencing.md 13-26 is the home,agent-run.sh cache; test-agent-run-verification-cache.sh,low,4,test-fast-mode-contract.sh:36[a]L67-67:full suite | test-skills-contract.sh:435[a]L69-69:DYN: body names references/trust-and-fencing.md (f | test-skills-contract.sh:438[a]L69-69:DYN: same line matches cue regex (Read |read ).*in | lint-helper-refs.sh:87[e]L69-69:path must resolve: references/trust-and-fencing.md
PI-22,parallel-issues/SKILL.md,757-793,NARR,3795,2000,1795,448,Compose block: move the spec-verification/plan-sha/report-persistence bookkeeping (lines 767-789) into compose-worker-prompt.sh (overlaps filed #613 root bookkeeping); SKILL keeps the 8-line call,compose-worker-prompt.sh (test-compose-worker-prompt.sh),lines 777-787 are EXECUTED verbatim by test-parallel-dispatch-contract.sh:471-497 (kind c) — moving them into the helper needs that extraction re-pointed in the same PR | MIXED: adds ~40 LOC to the helper; net md −2.4KB,38,test-contract-provenance.sh:126[a]L758-758:# >>> prepend THE CACHE REHYDRATION (defined once  | test-contract-provenance.sh:147[a]L758-758:THE CACHE REHYDRATION | test-contract-provenance.sh:122[a]L759-759:FULL_GUARD (every occurrence is a guarded block) | test-contract-provenance.sh:129[a]L759-759:agentkit unresolved: prepend THE CACHE REHYDRATION
RR-01,review-remote-pr/SKILL.md,132-166,SELF,2319,700,1619,404,Compress The Loop ASCII to 10 lines (phase → step numbers); Steps 0-6 below carry the detail,Step sections,"no test greps ""PHASE A"" (checked tests/*.sh); test-skills-contract.sh pins Step headings, which stay",3,lint-helper-refs.sh:115[e]L139-139:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L139-139:path must resolve: $agentkit/review-remote-pr/scri | test-parallel-dispatch-contract.sh:859[a]L143-144:review the worker's pushed diff and re-check CI an
RR-02,review-remote-pr/SKILL.md,212-232,DUP,1326,600,726,181,0b prose: 214-218 duplicates onboard-repo 160-166 + worktree-commit.sh exit-code contract; 225-231 sed/python note is shell-portability content → 6 lines,worktree-commit.sh exits 2/3; shell-portability.md,low,8,test-recipe-safety.sh:49[a]L215-215:merge-inherited paths parked/handed off | test-recipe-safety.sh:47[a]L218-218:core.hooksPath | test-skills-contract.sh:297[a]L221-221:jq is not installed; evidence unavailable | test-parallel-dispatch-contract.sh:1029[a]L225-225:never rebase
RR-03,review-remote-pr/SKILL.md,221-223;233-233,NET,315,120,195,48,Drop `gh pr view --json mergeable` and `--json baseRefName` (2 network calls): BASE_BRANCH from contract-read --get base.branch; mergeable from the Step 1 digest first line (pr= draft= mergeable=),gh-pr-state.sh digest line 51; contract-read.sh base.branch,0b runs before Step 1: swap 0b/0c order or read mergeable after Step 1,1,test-skills-contract.sh:297[a]L221-221:jq is not installed; evidence unavailable
RR-04,review-remote-pr/SKILL.md,446-458,DUP,988,500,488,122,Step 5 → 5 lines; provider-rules.md (mandatory read at Step 1a) carries the cycle order and recipes,provider-rules.md §Step 5,low,1,test-skills-contract.sh:413[a]L447-447:blocked check and must never be summarized as “no
RR-05,review-remote-pr/SKILL.md,482-503,SELF,1215,700,515,128,Exit report: one template with a `[draft-phase|final]` header instead of two near-identical ones,—,low,0,
RR-06,review-remote-pr/SKILL.md,12-18,DUP,533,450,83,20,Read-discipline paragraph → 2 lines,references.md,low,14,"test-skills-contract.sh:275[a]L12-12:References are read once, batched, and never sized | test-skills-contract.sh:262[b]L12-12:SECTION: sed '/^**References are read once, batche | test-reference-manifest.sh:211[a]L13-13:""$agentkit/references.md"" | lint-helper-refs.sh:87[e]L13-13:path must resolve: $agentkit/references.md"
RR-07,review-remote-pr/SKILL.md,62-83,DUP,1506,1200,306,76,Runtime neutrality + provider rules paragraphs → 5 lines; environment-contract.md 6-24 and provider-rules.md 37-57 are the mandatory-read homes,environment-contract.md; provider-rules.md,low,18,"test-parallel-dispatch-contract.sh:1021[b]L62-62:CONCAT root_sections: root_fence + root_pub + R ""# | test-skills-contract.sh:297[a]L65-65:jq is not installed; evidence unavailable | test-parallel-dispatch-contract.sh:990[a]L66-66:../.shared/github-body-policy.md | test-skills-contract.sh:470[a]L66-66:DYN: consumer points at ../.shared/github-body-pol"
RR-08,review-remote-pr/SKILL.md,64-65;191-191;221-221;282-285,SELF,529,60,469,117,Drop the per-block `command -v jq` preamble (4 copies): every helper the blocks call exits non-zero itself when jq is missing; keep the one rule sentence at 64,gh-pr-state.sh/post-receipt.sh/consent-record.sh require jq and die,"gh-pr-state.sh, post-receipt.sh, pr-worktree.sh, verification-baseline.sh, triage-issues.sh self-check jq; consent-record.sh has no explicit check but fails non-zero on a missing jq",4,test-skills-contract.sh:297[a]L65-65:jq is not installed; evidence unavailable | test-skills-contract.sh:297[a]L191-191:jq is not installed; evidence unavailable | test-skills-contract.sh:297[a]L221-221:jq is not installed; evidence unavailable | test-skills-contract.sh:297[a]L283-283:jq is not installed; evidence unavailable
RR-09,review-remote-pr/SKILL.md,258-274,NARR,1022,350,672,168,0c prose: run-dir.sh owns the path/mode/fallback; keep the block + 1 line,run-dir.sh; test-run-dir.sh,low,11,test-contract-provenance.sh:126[a]L264-264:# >>> prepend THE CACHE REHYDRATION (defined once  | test-contract-provenance.sh:147[a]L264-264:THE CACHE REHYDRATION | test-contract-provenance.sh:122[a]L265-265:FULL_GUARD (every occurrence is a guarded block) | test-contract-provenance.sh:129[a]L265-265:agentkit unresolved: prepend THE CACHE REHYDRATION
RR-10,review-remote-pr/SKILL.md,412-423,SELF,896,700,196,49,Step 3 wait: 4 lines (never gh pr ready; report; wait per wait-discipline; observe provider),wait-discipline.md,low,13,"test-adversarial-review-receipt.sh:134[b]L412-412:^## Step 3 (Phase B): | test-parallel-dispatch-contract.sh:1021[b]L412-412:CONCAT root_sections: root_fence + root_pub + R ""# | test-parallel-dispatch-contract.sh:628[b]L412-412:## Step 0: Setup .. ## Step 3 (Phase B) | test-skills-contract.sh:398[b]L412-412:SECTION: sed '/^## Step 3 (Phase B)/,/^## Step 4:/"
OB-01,onboard-repo/SKILL.md,160-167,DUP,711,250,461,115,Protected-path/hook-bypass paragraph → 2 lines; same sentences live in review-remote-pr 214-218 and worktree-commit.sh --help,worktree-commit.sh exit 3/2; test-worktree-commit.sh,low,1,test-recipe-safety.sh:51[a]L161-161:named-base affordance
OB-02,onboard-repo/SKILL.md,328-337,SELF,616,200,416,104,"Delete: ""runs directly, no approval"" is stated at 25, 201-203 and again here; VERIFY/TEST on-demand is stated at 191-194",—,low,0,
OB-03,onboard-repo/SKILL.md,13-28,SELF,1271,500,771,192,Intro: 7 one-line paragraphs → 4 lines (23/25 overlap Step 6/Reference),—,low,8,lint-helper-refs.sh:115[e]L13-13:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L13-13:path must resolve: $agentkit/.shared/scripts/boots | lint-helper-refs.sh:115[e]L25-25:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L25-25:path must resolve: $agentkit/.shared/scripts/agent
OB-04,onboard-repo/SKILL.md,183-190,SELF,507,350,157,39,"""Do not test a candidate yourself"" + SETUP paragraphs → 3 lines",agent-run.sh,low,0,
PG-01,pr-to-green/SKILL.md,159-216,NARR,3311,1100,2211,552,Authorization: keep the example command (171-177) + 6 lines; the JSON record shape (188-205) and the helper-behavior prose describe what authorize-queue.sh/review-transition.sh enforce,"authorize-queue.sh, review-transition.sh; test-pr-to-green-authorize-queue.sh, test-review-transition.sh",low,15,lint-helper-refs.sh:87[e]L160-160:path must resolve: scripts/authorize-queue.sh | test-pr-to-green.sh:25[a]L162-162:pr-queue.sh | lint-helper-refs.sh:87[e]L172-172:path must resolve: $agentkit/pr-to-green/scripts/a | test-pr-to-green.sh:73[a]L185-185:--auto-merge
PG-02,pr-to-green/SKILL.md,98-104,DUP,570,300,270,67,API-budget bullet → 2 lines; wait-discipline.md §GitHub API budget is the home,pr-queue.sh budget: line; exit 3,low,7,test-pr-to-green.sh:25[a]L98-98:pr-queue.sh | lint-helper-refs.sh:115[e]L98-98:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L98-98:path must resolve: $agentkit/pr-to-green/scripts/p | test-pr-to-green.sh:25[a]L101-101:pr-queue.sh
PG-03,pr-to-green/SKILL.md,273-282,DUP,687,350,337,84,Phase C paragraph → 3 lines; provider-rules.md owns settlement,provider-rules.md; thread-action.sh,low,6,test-pr-to-green.sh:30[a]L275-275:thread-action.sh | test-pr-to-green.sh:53[a]L279-279:per-item confirmation | lint-helper-refs.sh:115[e]L280-280:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L280-280:path must resolve: $agentkit/review-remote-pr/scri
PG-04,pr-to-green/SKILL.md,217-248,DUP,1937,1100,837,209,Step 2: baseline-red paragraph (227-238) duplicates review-remote-pr Step 2 + trust-and-fencing; → 12 lines total,verification-baseline.sh; test-verification-baseline.sh,low,8,lint-helper-refs.sh:115[e]L229-229:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L229-229:path must resolve: $agentkit/review-remote-pr/scri | test-pr-to-green.sh:52[a]L230-230:adversarial review | lint-helper-refs.sh:115[e]L235-235:first mention must be $agentkit-rooted: $agentkit/
PG-05,pr-to-green/SKILL.md,76-97,SELF,1362,1000,362,90,"Hard rules → 5 bullets (93-95 ""stay in their authoritative files"" is meta; 96-97 repeats 25)",—,low,14,test-pr-to-green.sh:38[a]L78-79:Steps 2–4) may run in parallel across independent | lint-helper-refs.sh:115[e]L80-80:first mention must be $agentkit-rooted: $agentkit/ | lint-helper-refs.sh:87[e]L80-80:path must resolve: $agentkit/parallel-issues/scrip | test-pr-to-green.sh:77[a]L81-81:auto-merge.md
CH-01,parallel-issues/references/chains.md,166-218,NARR,4267,800,3467,866,Retarget-proof exemptions (issue #577/#455 internals) → 8-line token legend for behind=/generated-only=/provider-check=/approval=; chain-advance.sh computes and prints them,chain-advance.sh; test-chain-advance.sh,low,0,
CH-02,parallel-issues/references/chains.md,297-313,DUP,1340,350,990,247,Post-push rewrite essay → 3 lines; worker-prompts History freeze is the worker-side rule,worker-prompts.md 247-252,low,0,
CH-03,parallel-issues/references/chains.md,314-350,HIST,2575,700,1875,468,"Contract-inheritance history (""Before this was fixed…"") → the 3-step recovery + 2 lines",agent-preflight.sh --inherit-session revalidation; test-agent-preflight.sh,low,1,test-parallel-dispatch-contract.sh:163[a]L317-317:pushed commit
CH-04,parallel-issues/references/chains.md,63-87,SELF,1796,1000,796,199,Publishing a chain base → 10 lines (37-61 already states the join push rule),create-issue-worktree.sh pushes once,low,4,test-parallel-dispatch-contract.sh:173[a]L63-63:Publishing a locally-built chain base | test-parallel-dispatch-contract.sh:175[a]L71-71:a linear chain is not protected from this just bec | test-parallel-dispatch-contract.sh:163[a]L75-76:pushed commit | test-parallel-dispatch-contract.sh:163[a]L83-83:pushed commit
CH-05,parallel-issues/references/chains.md,238-268,DUP,2557,1200,1357,339,Human-merge/delete-branch + retarget-invalidation → 12 lines; auto-merge.md §Dependents check is the home for merge-pr.sh behaviour,merge-pr.sh; chain-advance.sh --recover-closed,low,0,
WP-01,parallel-issues/references/worker-prompts.md,111-121;728-735,HIST,1412,240,1172,293,`<WHEN … trust record.>` template-author blurbs: keep the first-line start marker and the `trust record.>` end marker on ONE line each; the composer skips the block (compose-worker-prompt.sh:1120-1128) so it never reaches a worker,compose-worker-prompt.sh skip_when; test-compose-worker-prompt.sh,composer matches the start substring and the end token — keep both,4,test-compose-worker-prompt.sh:102[b]L111-111:<WHEN this parallel-issues invocation carried --yo | test-compose-worker-prompt.sh:102[b]L121-121:<WHEN this parallel-issues invocation carried --yo | test-compose-worker-prompt.sh:406[b]L728-728:<WHEN this parallel-issues invocation carried --yo | test-compose-worker-prompt.sh:406[b]L735-735:<WHEN this parallel-issues invocation carried --yo
WP-02,parallel-issues/references/worker-prompts.md,217-232;709-724,NARR,2754,700,2054,513,"Trailer essay ×2 → 3 lines each: pass --trailer ""$worker_attribution"" in the same tool call; the helper refuses an empty trailer and derives one when omitted",worktree-commit.sh:576-585; test-worktree-commit.sh,pasted into every worker prompt: saving is per-worker too,4,test-parallel-dispatch-contract.sh:815[a]L217-217:expanded literal value | test-contract-provenance.sh:213[a]L220-220:contract-read.sh | test-parallel-dispatch-contract.sh:815[a]L709-709:expanded literal value | test-contract-provenance.sh:213[a]L712-712:contract-read.sh
WP-03,parallel-issues/references/worker-prompts.md,124-134,DUP,934,350,584,146,Baseline-exclusion paragraph in the lead prompt → 3 lines; trust-and-fencing.md 28-41 is the root-side home; agent-run.sh prints BASELINE-EXCLUDED,agent-run.sh --baseline-*; test-agent-run-*.sh,low,0,
WP-04,parallel-issues/references/worker-prompts.md,144-151,NARR,664,300,364,91,"agent-run.sh behaviour paragraph → 3 lines (PASS/FAIL line, read the named log, pass --)",agent-run.sh output,low,4,test-compose-worker-prompt-scope.sh:311[a]L148-148:NAMED LOG (asserted L315) | test-parallel-dispatch-contract.sh:123[a]L151-151:__compose_isolation__ | test-compose-worker-prompt-scope.sh:39[b]L151-151:__COMPOSE_ISOLATION__ | test-compose-worker-prompt.sh:102[b]L151-151:__COMPOSE_ISOLATION__
WP-05,parallel-issues/references/worker-prompts.md,162-177;751-766,SELF,1744,900,844,211,File-image freshness ×2 → 5 lines each (keep __IMAGE_INVALIDATING_WRITERS__),composer placeholder,low,10,"test-compose-worker-prompt-scope.sh:312[a]L164-164:Before generating any patch, re-read the target fi | test-compose-worker-prompt.sh:287[a]L164-164:Before generating any patch, re-read the target fi | test-parallel-dispatch-contract.sh:127[a]L171-171:__image_invalidating_writers__ | test-compose-worker-prompt-scope.sh:39[b]L171-171:__IMAGE_INVALIDATING_WRITERS__"
WP-06,parallel-issues/references/worker-prompts.md,75-98;661-685,SELF,3573,2000,1573,393,Filesystem scope + ownership + instructions ×2 → 8 lines each; fix-batch 661-670 repeats 672-676 inside the same template,cross-write-check.sh enforces cross-writes at Collect; test-cross-write-ref-fence.sh,low,38,"test-compose-worker-prompt-scope.sh:309[a]L75-75:**Filesystem scope:** (asserted L315) | test-parallel-dispatch-contract.sh:716[a]L75-75:Your working set is the current worktree | test-parallel-dispatch-contract.sh:718[a]L75-75:contract `skills=` tree | test-parallel-dispatch-contract.sh:720[a]L76-76:`/tmp`, contract cache directories"
WP-07,parallel-issues/references/worker-prompts.md,510-537;538-554,NARR,2870,3200,0,0,PR-loop setup: root regeneration block → 8 lines; terminal-marker prose (538-553) restates the code above → 5 lines,composer pins artifact-contract text (compose-worker-prompt.sh:1229-1247),66 pins across the setup prompt — cut only unpinned prose; keep every needle | composer greps needles in this section; keep the needle strings,66,test-compose-worker-prompt.sh:461[a]L511-511:launch-ready | test-parallel-dispatch-contract.sh:664[a]L511-511:launch-ready | test-parallel-dispatch-contract.sh:693[a]L511-511:run-dir= | test-compose-worker-prompt.sh:515[a]L516-516:Rebuild `acceptance_args` inside this root block
WP-08,parallel-issues/references/worker-prompts.md,556-577,SELF,1579,800,779,194,"Draft PR body prose: ""never inline --body"" appears twice; composer order is printed by the helper → 8 lines","compose-pr-body.sh; gh-body.sh refuses inline bodies; test-compose-pr-body.sh, test-gh-body.sh",low,6,test-parallel-dispatch-contract.sh:909[b]L556-556:## Draft PR body template .. ## PR-fix-batch worke | test-parallel-dispatch-contract.sh:916[a]L561-561:compose-pr-body.sh | test-parallel-dispatch-contract.sh:924[a]L569-569:This was written agentically; verify its assertion | test-parallel-dispatch-contract.sh:926[a]L570-570:Never pass a multiline PR body through inline `--b
WP-09,parallel-issues/references/worker-prompts.md,18-45,HIST,2167,1200,967,241,Fast-mode round contract (historical baseline numbers) + misplaced pr-to-green helper argv → 8 lines,pr-to-green/SKILL.md call-site map,low,20,test-fast-mode-contract.sh:30[a]L20-20:same first pushed diff | test-fast-mode-contract.sh:96[a]L20-20:fast-mode | test-fast-mode-contract.sh:32[a]L22-22:one combined fix batch | test-fast-mode-contract.sh:34[a]L22-22:focused verification
WP-10,parallel-issues/references/worker-prompts.md,89-94,HIST,411,0,411,102,paths-touched.ndjson paragraph: the hook never writes it (filed #611); delete or 1 line,#611,depends on #611 disposition,2,test-parallel-dispatch-contract.sh:1389[a]L90-90:paths-touched.ndjson | test-parallel-dispatch-contract.sh:767[a]L92-92:completion report
WP-11,parallel-issues/references/worker-prompts.md,284-298,DUP,2698,2698,0,0,Six-step block in the lead template: keep (must be pasted) but drop .shared/six-step-loop.md from parallel-issues mandatory reads — see read-cost section,six-step-loop.md,no size change here; read-cost only,11,test-compose-worker-prompt-scope.sh:302[a]L284-284:## Required six-step loop (must be reported explic | test-compose-worker-prompt-scope.sh:303[a]L290-290:SPIKE + REVERT (asserted L315) | test-parallel-dispatch-contract.sh:604[a]L290-290:extends existing pattern <name> | test-parallel-dispatch-contract.sh:608[a]L290-290:line count is not the test
TS-01,parallel-issues/references/triage-and-selection.md,40-48;66-70;79-83;89-95;97-102;111-115;128-135;144-153,HIST,3358,900,2458,614,Bulk-mutation recipe: shrink the explanatory comment stanzas to one line each and the prose to 3 lines each,apply-ledger.sh; test-apply-ledger.sh; lint-rest-routing.sh,low,5,"test-parallel-dispatch-contract.sh:393[a]L90-90:--json | test-parallel-dispatch-contract.sh:393[a]L98-98:--json | test-parallel-dispatch-contract.sh:397[a]L102-102:if [[ -z $mutation_json ]]; then | test-parallel-dispatch-contract.sh:401[a]L115-115:if ! ""$apply_ledger"" record --ledger ""$ledger"""
